source_type,source_id,relation,target_type,target_id,timestamp
Usuario,arantxa_af,sigue_a,Usuario,cesar_ss,
Usuario,arantxa_af,sigue_a,Usuario,omar_oa,
Usuario,cesar_ss,sigue_a,Usuario,omar_oa,
Usuario,cesar_ss,sigue_a,Usuario,doritoo,
Usuario,doritoo,sigue_a,Usuario,arantxa_af,
Usuario,maria_lp,sigue_a,Usuario,arantxa_af,
Usuario,juan_dev,sigue_a,Usuario,omar_oa,
Usuario,juan_dev,sigue_a,Usuario,cesar_ss,
Usuario,arantxa_af,posteo,Post,p_001,2026-05-10T10:00:00Z
Usuario,omar_oa,posteo,Post,p_002,2026-05-10T11:30:00Z
Usuario,doritoo,posteo,Post,p_003,2026-05-10T12:15:00Z
Usuario,cesar_ss,posteo,Post,p_004,2026-05-10T13:00:00Z
Usuario,omar_oa,posteo,Post,p_005,2026-05-10T14:00:00Z
Usuario,maria_lp,posteo,Post,p_006,2026-05-10T15:00:00Z
Usuario,juan_dev,posteo,Post,p_007,2026-05-10T16:00:00Z
Usuario,cesar_ss,posteo,Post,p_008,2026-05-10T17:00:00Z
Usuario,maria_lp,posteo,Post,p_009,2026-05-10T18:00:00Z
Usuario,doritoo,posteo,Post,p_010,2026-05-10T19:00:00Z
Usuario,omar_oa,posteo,Post,p_011,2026-05-10T20:00:00Z
Usuario,juan_dev,posteo,Post,p_012,2026-05-10T21:00:00Z
Usuario,cesar_ss,dio_like,Post,p_001,
Usuario,doritoo,repostea,Post,p_001,
Usuario,arantxa_af,dio_like,Post,p_004,
Usuario,juan_dev,dio_like,Post,p_005,
Usuario,maria_lp,dio_like,Post,p_007,
Comentario,c_001,pertenece_a,Post,p_001,2026-05-10T10:05:00Z
Comentario,c_001,escrito_por,Usuario,omar_oa,
Comentario,c_002,pertenece_a,Post,p_004,2026-05-10T13:10:00Z
Comentario,c_002,escrito_por,Usuario,juan_dev,
